Multi_scatter,Hit_res,mean,rms,n
0.0,0.0,0.0,0.0,3
0.0,0.0006000000000000001,0.0,0.0,3
0.0,0.002,0.0,0.0,3
0.0,0.004,0.0,0.0,3
0.0002,0.0,0.004219409282700333,0.005967145832797745,3
0.0002,0.0006000000000000001,0.004273504273504001,0.006043647702448737,3
0.0002,0.002,0.0,0.0,3
0.0002,0.004,0.0,0.0,3
0.0004,0.0,0.004329004329004,0.006122136633649297,3
0.0004,0.0006000000000000001,0.0,0.0,3
0.0004,0.002,0.008658008658008334,0.012244273267299067,3
0.0004,0.004,0.0,0.0,3
0.0006000000000000001,0.0,0.0,0.0,3
0.0006000000000000001,0.0006000000000000001,0.0,0.0,3
0.0006000000000000001,0.002,0.0,0.0,3
0.0006000000000000001,0.004,0.0,0.0,3
0.0008,0.0,0.0,0.0,3
0.0008,0.0006000000000000001,0.0,0.0,3
0.0008,0.002,0.0,0.0,3
0.0008,0.004,0.0,0.0,3
0.001,0.0,0.0,0.0,3
0.001,0.0006000000000000001,0.013333333333333334,0.018856180831641266,3
0.001,0.002,0.0,0.0,3
0.001,0.004,0.0,0.0,3
