Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.001,0.2076769230769231,0.03278348913345426,650
0.0,0.02,0.001,0.20699708454810495,0.0321748165872323,644
0.0,0.04,0.001,0.20793145576131683,0.033238419129479564,648
0.0,0.1,0.001,0.20666751874573958,0.03334904337859669,652
0.0006,0.0,0.001,0.2096483771251932,0.03397940679644059,647
0.0006,0.02,0.001,0.2058285270629991,0.033185655485960766,644
0.0006,0.04,0.001,0.20865335381464412,0.03462921706407005,651
0.0006,0.1,0.001,0.20756172839506168,0.03268327615404491,648
0.002,0.0,0.001,0.20621340523882897,0.03221803592383553,649
0.002,0.02,0.001,0.20627660573431822,0.03288950167029639,652
0.002,0.04,0.001,0.2063145068807339,0.0336701864378124,654
0.002,0.1,0.001,0.20677056500085864,0.03302912571138774,647
0.004,0.0,0.001,0.20131007751937985,0.02970541371315942,645
0.004,0.02,0.001,0.20125019473438227,0.031631284472329865,655
0.004,0.04,0.001,0.2007140327150953,0.030033664200842317,647
0.004,0.1,0.001,0.20116239316239312,0.032844741546619406,650
