Hit_res,efficency_err,Multi_scatter,mean,rms,n
0.0,0.0,0.0,0.9995688451333612,0.0012708729402700378,155
0.0,0.02,0.0,0.9992569871087077,0.001497880446715466,143
0.0,0.04,0.0,0.9989821803426776,0.0016929406777643021,181
0.0,0.1,0.0,0.9987107127029703,0.0016898096100781293,206
0.0006,0.0,0.0,0.9993128550193767,0.0015740019986633235,161
0.0006,0.02,0.0,0.9991283716283715,0.001653989276891027,154
0.0006,0.04,0.0,0.9989770516120988,0.001767556534609478,184
0.0006,0.1,0.0,0.9986951902264403,0.0017609387842124349,200
0.002,0.0,0.0,0.9994060253580122,0.0014870584384691283,151
0.002,0.02,0.0,0.999339989027489,0.0013732779525163525,148
0.002,0.04,0.0,0.9991258222894459,0.0016244869565079298,178
0.002,0.1,0.0,0.9987330495041021,0.0017251302998495836,210
0.004,0.0,0.0,0.999797794117647,0.0008439660128317393,340
0.004,0.02,0.0,0.99972123280159,0.0009136048660378726,336
0.004,0.04,0.0,0.9996370502231036,0.0010163511070910044,337
0.004,0.1,0.0,0.9993450311186454,0.0013356914030626982,377
