Hit_res,Multi_scatter,mean,rms,n
0.0,0.0,0.9995688451333612,0.0012708729402700378,155
0.0,0.0002,0.9998241988440851,0.0008092665046979016,440
0.0,0.0004,0.9998295802454346,0.0007498654026421149,633
0.0,0.0006,0.9997939952605526,0.0009458123644696326,656
0.0,0.0008,0.9998380908875946,0.0009836828706529354,649
0.0,0.001,0.9998342059585867,0.0012319558333370006,650
0.0006,0.0,0.9993128550193767,0.0015740019986633235,161
0.0006,0.0002,0.9998231558368232,0.0007880151371700116,439
0.0006,0.0004,0.9998810630311934,0.0006224261483334519,629
0.0006,0.0006,0.9998790865607383,0.000752682168386926,651
0.0006,0.0008,0.999886211866665,0.0007756290398027796,651
0.0006,0.001,0.9997883625379277,0.0014699202226940889,647
0.002,0.0,0.9994060253580122,0.0014870584384691283,151
0.002,0.0002,0.9998447732822732,0.0007232199280072661,472
0.002,0.0004,0.9998561277779743,0.0006875067878747454,624
0.002,0.0006,0.9998537553252624,0.0007450386452076283,653
0.002,0.0008,0.999826844378855,0.0009701367279754653,652
0.002,0.001,0.9998536569200082,0.0011236189059297904,649
0.004,0.0,0.999797794117647,0.0008439660128317393,340
0.004,0.0002,0.9998998679109111,0.0005356999842187028,532
0.004,0.0004,0.9998835793261531,0.0006364129502587204,639
0.004,0.0006,0.9997620118038709,0.0009631069176878715,653
0.004,0.0008,0.9997713937189814,0.0011997163719658151,658
0.004,0.001,0.9998473446354045,0.001131483038683334,645
